CountryName,CountryCode,ContinentCode,CenterLongitude,CenterLatitude,Population
Black Female,BF,FO,-108,-54,100000
Black Female,BF,MO,-36,-54,100000
Black Female,BF,MO,-36,-54,100000
Black Female,BF,MO,-36,-54,100000
Black Female,BF,MO,-36,-54,100000
Black Female,BF,MO,-36,-54,100000
Black Female,BF,NO,36,-54,100000
Black Female,BF,NO,36,-54,100000
Black Female,BF,TP,108,-54,100000
Black Female,BF,TP,108,-54,100000
Black Female,BF,TP,108,-54,100000
Black Female,BF,MO,-36,-54,100000
Black Female,BF,TP,108,-54,100000
Black Female,BF,TP,108,-54,100000
Black Female,BF,TP,108,-54,100000
Black Female,BF,TP,108,-54,100000
Black Female,BF,TP,108,-54,100000
Black Female,BF,TP,108,-54,100000
Black Female,BF,MO,-36,-54,100000
Black Female,BF,MO,-36,-54,100000
Black Female,BF,MO,-36,-54,100000
Black Female,BF,MO,-36,-54,100000
Black Female,BF,MO,-36,-54,100000
Black Female,BF,MO,-36,-54,100000
Black Female,BF,MO,-36,-54,100000
Black Male,BM,FO,-108,-18,100000
Black Male,BM,MO,-36,-18,100000
Black Male,BM,MO,-36,-18,100000
Black Male,BM,MO,-36,-18,100000
Black Male,BM,MO,-36,-18,100000
Black Male,BM,MO,-36,-18,100000
Black Male,BM,NO,36,-18,100000
Black Male,BM,NO,36,-18,100000
Black Male,BM,TP,108,-18,100000
Black Male,BM,TP,108,-18,100000
Black Male,BM,TP,108,-18,100000
Black Male,BM,MO,-36,-18,100000
Black Male,BM,TP,108,-18,100000
Black Male,BM,TP,108,-18,100000
Black Male,BM,TP,108,-18,100000
Black Male,BM,TP,108,-18,100000
Black Male,BM,TP,108,-18,100000
Black Male,BM,TP,108,-18,100000
Black Male,BM,MO,-36,-18,100000
Black Male,BM,MO,-36,-18,100000
Black Male,BM,MO,-36,-18,100000
Black Male,BM,MO,-36,-18,100000
Black Male,BM,MO,-36,-18,100000
Black Male,BM,MO,-36,-18,100000
Black Male,BM,MO,-36,-18,100000
White Female,WF,FO,-108,18,100000
White Female,WF,TP,108,18,100000
White Female,WF,TP,108,18,100000
White Female,WF,TP,108,18,100000
White Female,WF,TP,108,18,100000
White Female,WF,TP,108,18,100000
White Female,WF,TP,108,18,100000
White Female,WF,TP,108,18,100000
White Female,WF,TP,108,18,100000
White Female,WF,TP,108,18,100000
White Female,WF,TP,108,18,100000
White Female,WF,MO,-36,18,100000
White Female,WF,TP,108,18,100000
White Female,WF,TP,108,18,100000
White Female,WF,TP,108,18,100000
White Female,WF,TP,108,18,100000
White Female,WF,TP,108,18,100000
White Female,WF,TP,108,18,100000
White Female,WF,MO,-36,18,100000
White Female,WF,MO,-36,18,100000
White Female,WF,MO,-36,18,100000
White Female,WF,NO,36,18,100000
White Female,WF,TP,108,18,100000
White Female,WF,TP,108,18,100000
White Female,WF,TP,108,18,100000
White Male,WM,FO,-108,54,100000
White Male,WM,TP,108,54,100000
White Male,WM,TP,108,54,100000
White Male,WM,TP,108,54,100000
White Male,WM,TP,108,54,100000
White Male,WM,TP,108,54,100000
White Male,WM,TP,108,54,100000
White Male,WM,TP,108,54,100000
White Male,WM,TP,108,54,100000
White Male,WM,TP,108,54,100000
White Male,WM,TP,108,54,100000
White Male,WM,MO,-36,54,100000
White Male,WM,TP,108,54,100000
White Male,WM,TP,108,54,100000
White Male,WM,TP,108,54,100000
White Male,WM,TP,108,54,100000
White Male,WM,TP,108,54,100000
White Male,WM,TP,108,54,100000
White Male,WM,MO,-36,54,100000
White Male,WM,MO,-36,54,100000
White Male,WM,MO,-36,54,100000
White Male,WM,NO,36,54,100000
White Male,WM,TP,108,54,100000
White Male,WM,TP,108,54,100000
White Male,WM,TP,108,54,100000